Time,Maximum Price,Minimum Price,Average Price,Total Qty,Total quoteQty,Price Difference,Price Variation,Group Qty,Group quoteQty
00:15,0.000010340,0.000010320,0.000010326,9384028,96.931182861,-0.000000005,-0.045%,278530642,2873.8875
00:16,0.000010340,0.000010320,0.000010332,13047689,134.740585327,0.000000018,+0.17%,226885054,2340.5886
00:17,0.000010330,0.000010320,0.000010321,10472855,108.083251953,0.000000008,+0.073%,207543346,2141.3167
00:18,0.000010340,0.000010300,0.000010319,61288945,632.400695801,-0.000000003,-0.024%,202156283,2085.8647
00:19,0.000010330,0.000010320,0.000010322,6582152,67.942268372,0.000000012,+0.121%,222691166,2297.6304
00:20,0.000010340,0.000010320,0.000010331,11163426,115.395698547,0.000000026,+0.251%,222770412,2298.5457
00:21,0.000010350,0.000010330,0.000010340,29625858,306.253845215,0.000000033,+0.317%,228711771,2360.134
00:22,0.000010350,0.000010340,0.000010342,10307781,106.583381653,0.000000035,+0.338%,253391893,2615.4292
00:23,0.000010340,0.000010330,0.000010335,2471356,25.539709091,0.000000025,+0.238%,247149434,2551.4714
00:24,0.000010340,0.000010330,0.000010338,1370999,14.166973114,0.000000033,+0.318%,241948465,2497.8691
00:25,0.000010340,0.000010330,0.000010337,3232502,33.413467407,0.000000028,+0.274%,241366196,2491.9082
00:26,0.000010350,0.000010330,0.000010339,56988715,589.191162109,0.000000029,+0.279%,236695105,2443.8425
00:27,0.000010350,0.000010340,0.000010343,4574654,47.316570282,0.000000026,+0.256%,292660220,3022.4805
00:28,0.000010350,0.000010340,0.000010349,7948563,82.261833191,0.000000030,+0.295%,294209520,3038.5872
00:29,0.000010350,0.000010340,0.000010348,14279871,147.778930664,0.000000030,+0.291%,266698824,2754.9065
00:30,0.000010360,0.000010340,0.000010352,3666619,37.956993103,0.000000026,+0.252%,242739394,2507.9995
00:31,0.000010370,0.000010350,0.000010362,17128811,177.448974609,0.000000030,+0.287%,237021985,2449.0254
00:32,0.000010360,0.000010350,0.000010353,6386288,66.107185364,0.000000032,+0.308%,241103107,2491.7336
00:33,0.000010370,0.000010350,0.000010366,19788101,205.111953735,0.000000046,+0.448%,237016540,2449.7576
00:34,0.000010360,0.000010360,0.000010360,10450881,108.271125793,0.000000038,+0.363%,195515696,2022.4689
00:35,0.000010360,0.000010350,0.000010359,6075152,62.938117981,0.000000027,+0.264%,199384425,2062.7979
00:36,0.000010370,0.000010350,0.000010359,16424276,170.156173706,0.000000019,+0.188%,194296151,2010.3401
00:37,0.000010380,0.000010350,0.000010364,46012581,476.927337646,0.000000021,+0.205%,181094569,1874.2426
00:38,0.000010380,0.000010360,0.000010372,26577786,275.583526611,0.000000037,+0.36%,216799369,2244.5864
00:39,0.000010370,0.000010360,0.000010369,9189916,95.298553467,0.000000031,+0.299%,240905799,2494.6301
00:40,0.000010380,0.000010370,0.000010373,5360555,55.589179993,0.000000036,+0.347%,248724716,2575.7617
00:41,0.000010360,0.000010350,0.000010354,9672281,100.172691345,0.000000016,+0.152%,250852769,2597.9375
00:42,0.000010350,0.000010340,0.000010347,5484120,56.741996765,0.000000004,+0.042%,203536335,2108.9192
00:43,0.000010360,0.000010350,0.000010352,2238804,23.174789429,0.000000003,+0.024%,204445801,2118.3445
00:44,0.000010350,0.000010340,0.000010345,4072809,42.119068146,-0.000000003,-0.031%,198736042,2059.2576
00:45,0.000010360,0.000010350,0.000010351,4105491,42.497062683,-0.000000001,-0.011%,188528980,1953.5977
00:46,0.000010360,0.000010360,0.000010360,5097141,52.806377411,-0.000000002,-0.018%,188967852,1958.1378
00:47,0.000010360,0.000010360,0.000010360,60760,0.629473567,0.000000007,+0.067%,176936182,1833.4952
00:48,0.000010370,0.000010360,0.000010369,41271205,427.977844238,0.000000003,+0.028%,170610654,1768.0175
00:49,0.000010380,0.000010360,0.000010378,12295713,127.535812378,0.000000018,+0.174%,192093758,1990.8833
00:50,0.000010380,0.000010360,0.000010370,6625580,68.730247498,0.000000011,+0.11%,193938590,2010.1481
00:51,0.000010370,0.000010360,0.000010363,1401317,14.526764870,0.000000004,+0.037%,194489018,2015.9401
00:52,0.000010370,0.000010360,0.000010368,3799046,39.387561798,0.000000004,+0.037%,179466059,1860.3105
00:53,0.000010370,0.000010370,0.000010370,3092566,32.069908142,-0.000000002,-0.017%,137252524,1422.7709
00:54,0.000010380,0.000010370,0.000010372,2238743,23.216667175,0.000000002,+0.022%,113767304,1179.2573
00:55,0.000010380,0.000010370,0.000010378,9738669,101.084106445,0.000000005,+0.045%,106816131,1107.1755
00:56,0.000010380,0.000010380,0.000010380,527272,5.473083019,0.000000026,+0.246%,111194245,1152.6704
00:57,0.000010390,0.000010380,0.000010388,5499657,57.122024536,0.000000041,+0.395%,102049236,1057.9707
00:58,0.000010380,0.000010370,0.000010375,4411008,45.749351501,0.000000023,+0.222%,102064773,1058.3508
00:59,0.000010380,0.000010370,0.000010375,5372767,55.742630005,0.000000030,+0.29%,104236977,1080.9254
01:00,0.000010390,0.000010370,0.000010380,4890928,50.759540558,0.000000029,+0.278%,105536935,1094.549
01:01,0.000010390,0.000010380,0.000010387,7098020,73.718521118,0.000000027,+0.261%,106322372,1102.8114
01:02,0.000010390,0.000010370,0.000010377,14017140,145.440277100,0.000000017,+0.16%,108323251,1123.7235
01:03,0.000010390,0.000010370,0.000010383,1575239,16.352397919,0.000000015,+0.143%,122279631,1268.5343
01:04,0.000010390,0.000010370,0.000010379,7783126,80.799453735,0.000000001,+0.006%,82583665,856.9088
01:05,0.000010390,0.000010380,0.000010382,2327965,24.164827347,0.000000012,+0.116%,78071078,810.1726
01:06,0.000010390,0.000010380,0.000010386,6264945,65.072151184,0.000000023,+0.221%,73773463,765.6071
01:07,0.000010390,0.000010380,0.000010387,2356281,24.475254059,,+nan%,,
01:08,0.000010400,0.000010380,0.000010395,12728402,132.230041504,,+nan%,,
01:09,0.000010400,0.000010380,0.000010393,3564686,37.051429749,,+nan%,,
01:10,0.000010400,0.000010390,0.000010397,4095600,42.592586517,,+nan%,,
01:11,0.000010390,0.000010390,0.000010390,4876190,50.663612366,,+nan%,,
01:12,0.000010390,0.000010390,0.000010390,2719046,28.250888824,,+nan%,,
